strategy,TMR_sum,FD_sum,GHG_sum
BaU,39141509078.83846,153916248.9081015,48361575942.92847
Recycle2_Reman,38358679416.65021,149292675.7828526,48039795770.33315
Recycle2_Reuse2,38345326495.890495,145962663.75372612,46476956162.58028
Recycle2_Rental,38366236451.88942,153558203.39063075,48360323585.9098
Recycle2_LE,38364446861.69998,151817081.80548808,47968151017.62199
Reman_Reuse2,38518813081.549095,143757432.27212286,46304564357.44212
Reman_Rental,38331013671.34025,149272813.48593473,48038198322.91103
Reman_LE,38364440717.03507,147900347.09091783,47672623494.313774
Reuse2_Rental,38351644149.74492,145638490.71714926,46346450467.254166
Reuse2_LE,38362175130.69968,144618321.48515388,46130525537.853584
Rental_LE,38363690367.753746,152098950.20566875,47988132694.82655
Reuse1_LE,38364028231.6107,150633409.37834418,47666003519.692345
Reuse1_Recycle2,38364903152.60915,152073498.4263803,48033626982.419556
Reuse1_Reuse2,38384129781.74726,144924892.75986585,46204861402.887085
Reuse1_Reman,38357298240.64391,148077930.93129498,47732414185.82341
Reuse1_Rental,38371156903.60212,152384519.35918808,48060556399.690636
Recycle1_Reman,38525626627.048134,149430939.3707822,48044452928.19007
Recycle1_Reuse2,38518812796.836044,146106342.9345175,46481795734.847404
Recycle1_Rental,38331013155.488846,153529031.89787295,48359340997.15504
Recycle1_LE,38364440242.323524,151817076.32340342,47968150832.96792
Reuse1_Recycle1,38357297757.14189,152067199.73314413,48033414822.377045
Recycle1_Recycle2,38358678934.84786,153267918.7361341,48339738120.37948
